sampleID,Final_Label,Cluster_Hier_k3,Cluster_KMeans_k3,Cluster_GMM_k3,Cluster_Hier_k4,Cluster_KMeans_k4,Cluster_GMM_k4,Cluster_Hier_k5,Cluster_KMeans_k5,Cluster_GMM_k5,Cluster_Hier_k6,Cluster_KMeans_k6,Cluster_GMM_k6,Cluster_Hier_k7,Cluster_KMeans_k7,Cluster_GMM_k7,Cluster_Hier_k8,Cluster_KMeans_k8,Cluster_GMM_k8
GTEX-S4Q7-0003-SM-3NM8M,Normal_GTEX,3,1,0,4,2,3,5,2,3,6,5,4,7,2,4,8,1,1
GTEX-QV31-1626-SM-2S1QC,Normal_GTEX,1,2,2,1,1,0,1,1,4,1,3,0,1,5,0,1,0,0
GTEX-13QIC-0011-R1a-SM-5O9CJ,Normal_GTEX,3,1,0,3,2,3,4,3,0,5,4,5,6,3,6,7,4,4
GTEX-ZPCL-0126-SM-4WWC8,Normal_GTEX,1,0,2,1,3,2,1,4,2,1,2,2,2,1,2,3,3,3
GTEX-S33H-1226-SM-4AD69,Normal_GTEX,1,0,2,1,3,2,2,4,2,3,2,2,4,1,2,5,3,3
GTEX-X88G-0426-SM-47JZ5,Normal_GTEX,1,2,2,1,1,0,1,1,4,1,3,0,1,5,0,1,0,0
TCGA-C8-A1HL-01,LumB,2,0,1,2,0,1,3,0,1,4,0,1,5,6,1,6,2,2
TCGA-EW-A2FS-01,LumA,2,0,1,2,0,1,3,0,1,4,0,1,5,6,1,6,2,2
GTEX-ZAKK-0326-SM-5EGHA,Normal_GTEX,1,2,2,1,1,0,1,1,4,1,1,4,2,0,0,2,6,6
GTEX-1399S-1726-SM-5L3DI,Normal_GTEX,1,0,2,1,3,2,2,4,2,3,2,2,4,1,2,5,3,3
GTEX-ZF29-0926-SM-4WKFZ,Normal_GTEX,1,0,2,1,3,2,2,4,2,2,1,3,3,4,3,4,7,7
GTEX-13W3W-2626-SM-5SIA2,Normal_GTEX,1,2,2,1,1,0,1,1,4,1,1,4,2,0,0,2,6,6
GTEX-WQUQ-2526-SM-4MVNO,Normal_GTEX,1,0,2,1,3,2,1,4,2,1,2,2,1,1,2,1,3,3
GTEX-P44H-0526-SM-2XCF1,Normal_GTEX,1,2,2,1,1,0,1,4,4,1,1,0,2,0,3,3,6,6
GTEX-11ONC-2326-SM-5HL6P,Normal_GTEX,1,2,2,1,1,0,1,1,4,1,1,0,2,0,3,3,6,6
